seed,corpus_n,n_pairs,tn_only_pct,fp_only_pct,both_pct,joint_pct,tn_dom_pct,fp_dom_pct,e_i_mean,e_i_rms,e_j_mean,e_j_rms,m_ij_median,m_ij_mean,neg_ei_mean,ej_mean
42,1000000,18803,30.441950752539487,21.677391905546987,24.097218528958148,23.783438812955378,55.33691432218263,44.66308567781737,-0.00439165151481241,0.005650068429664379,0.0034698878952285645,0.004603111298952884,0.0031388401985168457,0.003928014444416016,0.00439165151481241,0.0034698878952285645
42,10000000,40128,24.750797448165866,24.783193779904306,25.610546251993624,24.855462519936204,49.703448963317385,50.296551036682615,-0.004484591438201816,0.0058769223308344845,0.004073593755099667,0.005121377003323476,0.0034247934818267822,0.0042526481563204595,0.004484591438201816,0.004073593755099667
123,1000000,19235,30.15856511567455,21.200935794125295,24.060306732518845,24.58019235768131,55.76293215492591,44.23706784507409,-0.004439153756790419,0.005725372378667003,0.003548902033024216,0.004703772857044874,0.0031772255897521973,0.004019572993889083,0.004439153756790419,0.003548902033024216
123,10000000,40433,24.942497464941997,24.583879504365247,25.268963470432573,25.204659560260183,50.20156802611728,49.79843197388272,-0.004527852370024134,0.00597408685096076,0.004089268239851807,0.005143926472817203,0.0034664273262023926,0.00431360595022795,0.004527852370024134,0.004089268239851807
7777,1000000,19947,30.06467237915476,21.075851005163686,24.118914125081464,24.74056249060009,55.74271820323858,44.25728179676142,-0.004475003843373951,0.005770765115810275,0.0035445348131284324,0.00464813961986909,0.003208935260772705,0.004026058171753681,0.004475003843373951,0.0035445348131284324
7777,10000000,40371,25.193827252235518,24.869336900250182,25.429144683064572,24.507691164449728,49.513264472021994,50.486735527978006,-0.004499956722944109,0.005929347593571485,0.004049172115533808,0.0050876492008519935,0.0034013986587524414,0.004258191076765646,0.004499956722944109,0.004049172115533808
