seed,dataset,cell,m_pq,bits_per_sub,index,rerank,vectors_indexed,recall10
123,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,8000000,84.544
123,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,8000000,92.236
123,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,8000000,77.919
123,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,8000000,92.278
123,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,9000000,84.429
123,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,9000000,92.419
123,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,9000000,77.803
123,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,9000000,92.457
123,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,10000000,84.561
123,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,10000000,92.555
123,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,10000000,77.671
123,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,10000000,92.662
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,1000000,83.71
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,1000000,88.377
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,1000000,79.819
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,1000000,88.816
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,2000000,84.053
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,2000000,89.806
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,2000000,79.524
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,2000000,90.275
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,3000000,84.324
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,3000000,90.48
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,3000000,79.09
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,3000000,90.869
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,4000000,84.44
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,4000000,91.073
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,4000000,78.678
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,4000000,91.293
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,5000000,84.464
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,5000000,91.485
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,5000000,78.266
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,5000000,91.574
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,6000000,84.436
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,6000000,91.727
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,6000000,78.236
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,6000000,91.856
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,7000000,84.423
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,7000000,91.982
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,7000000,78.074
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,7000000,92.055
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,8000000,84.444
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,8000000,92.234
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,8000000,77.882
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,8000000,92.176
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,9000000,84.495
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,9000000,92.372
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,9000000,77.706
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,9000000,92.366
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,0,10000000,84.524
7777,sift10m,sift10m_pqmatched,64,10,ivf_tq,50,10000000,92.528
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,0,10000000,77.684
7777,sift10m,sift10m_pqmatched,64,10,ivf_pq_stale,50,10000000,92.536
