seed,n_indexed,pq_recall,tq_recall,cov_faiss,cov_tq,margin_median,margin_p10,err_rms_pq,err_rms_tq,frac_err_gt_margin_pq,frac_err_gt_margin_tq,corr_pq,corr_tq
42,1000000,80.174,83.865,88.829,88.514,0.00076,0.00011,0.00387,0.00205,75.44,62.28,0.9961,0.9989
42,10000000,77.706,84.465,92.72,92.565,0.00059,8e-05,0.00416,0.00212,81.59,69.13,0.9944,0.9985
123,1000000,80.01,83.957,88.853,88.713,0.00076,0.00011,0.0039,0.00205,75.62,61.85,0.9961,0.9989
123,10000000,77.671,84.672,92.806,92.681,0.00059,8e-05,0.00419,0.00211,81.35,69.35,0.9943,0.9985
7777,1000000,79.819,84.003,88.828,88.766,0.00076,0.00011,0.0039,0.00206,75.72,62.08,0.9961,0.9989
7777,10000000,77.684,84.755,92.695,92.845,0.00059,8e-05,0.00419,0.00212,82.45,68.71,0.9943,0.9985
