seed,n_indexed,pq_recall,tq_recall,cov_faiss,cov_tq,margin_median,margin_p10,err_rms_pq,err_rms_tq,frac_err_gt_margin_pq,frac_err_gt_margin_tq,corr_pq,corr_tq
42,1000000,87.336,87.363,92.606,92.478,0.00132,0.00019,0.00338,0.00322,59.17,58.26,0.9993,0.9994
42,10000000,86.437,86.526,94.972,94.867,0.00097,0.00013,0.00359,0.00334,68.56,67.82,0.9991,0.9992
123,1000000,87.116,87.31,92.471,92.451,0.00132,0.00019,0.0034,0.00326,58.98,59.1,0.9993,0.9993
123,10000000,86.397,86.546,94.891,94.88,0.00097,0.00013,0.00364,0.00336,68.35,66.59,0.999,0.9991
7777,1000000,87.177,87.334,92.422,92.537,0.00132,0.00019,0.00338,0.00324,59.46,58.65,0.9993,0.9994
7777,10000000,86.273,86.576,94.676,94.851,0.00097,0.00013,0.00358,0.00336,68.29,67.65,0.9991,0.9991
