seed,vectors_indexed,recall_unc,recall_pq,L_route,L_score,check,dataset
42,1000000,88.828,80.174,11.171999999999997,8.653999999999996,0.0,SIFT
42,2000000,90.023,79.451,9.977000000000004,10.572000000000003,0.0,SIFT
42,3000000,90.695,78.997,9.305000000000007,11.697999999999993,0.0,SIFT
42,4000000,91.289,78.733,8.710999999999999,12.555999999999997,0.0,SIFT
42,5000000,91.667,78.454,8.332999999999998,13.213000000000008,0.0,SIFT
42,6000000,91.955,78.259,8.045000000000002,13.695999999999998,0.0,SIFT
42,7000000,92.177,78.05,7.822999999999993,14.12700000000001,0.0,SIFT
42,8000000,92.354,77.884,7.646000000000001,14.469999999999999,0.0,SIFT
42,9000000,92.56,77.678,7.439999999999998,14.882000000000005,0.0,SIFT
42,10000000,92.72,77.706,7.280000000000001,15.013999999999996,0.0,SIFT
123,1000000,88.852,80.01,11.147999999999996,8.841999999999999,0.0,SIFT
123,2000000,90.118,79.387,9.882000000000005,10.730999999999995,0.0,SIFT
123,3000000,90.834,79.079,9.165999999999997,11.75500000000001,0.0,SIFT
123,4000000,91.263,78.721,8.736999999999995,12.542000000000002,0.0,SIFT
123,5000000,91.54,78.227,8.459999999999994,13.313000000000002,0.0,SIFT
123,6000000,91.882,78.116,8.117999999999995,13.766000000000005,0.0,SIFT
123,7000000,92.116,78.019,7.884,14.096999999999994,0.0,SIFT
123,8000000,92.398,77.919,7.602000000000004,14.479,0.0,SIFT
123,9000000,92.583,77.803,7.417000000000002,14.780000000000001,0.0,SIFT
123,10000000,92.806,77.671,7.194000000000003,15.134999999999991,0.0,SIFT
7777,1000000,88.827,79.819,11.173000000000002,9.007999999999996,0.0,SIFT
7777,2000000,90.305,79.524,9.694999999999993,10.781000000000006,0.0,SIFT
7777,3000000,90.932,79.09,9.067999999999998,11.841999999999999,0.0,SIFT
7777,4000000,91.371,78.678,8.629000000000005,12.692999999999998,0.0,SIFT
7777,5000000,91.669,78.266,8.331000000000003,13.402999999999992,0.0,SIFT
7777,6000000,91.965,78.236,8.034999999999997,13.729,0.0,SIFT
7777,7000000,92.174,78.074,7.825999999999993,14.100000000000009,0.0,SIFT
7777,8000000,92.311,77.882,7.688999999999993,14.429000000000002,0.0,SIFT
7777,9000000,92.516,77.706,7.483999999999995,14.810000000000002,0.0,SIFT
7777,10000000,92.695,77.684,7.305000000000007,15.010999999999996,0.0,SIFT
42,1000000,92.602,87.337,7.397999999999996,5.265000000000001,0.0,Deep
42,2000000,93.277,86.994,6.722999999999999,6.283000000000001,0.0,Deep
42,3000000,93.742,86.948,6.257999999999996,6.794000000000011,0.0,Deep
42,4000000,94.148,86.886,5.852000000000004,7.2620000000000005,0.0,Deep
42,5000000,94.375,86.844,5.625,7.531000000000006,0.0,Deep
42,6000000,94.467,86.686,5.533000000000001,7.780999999999992,0.0,Deep
42,7000000,94.673,86.683,5.326999999999998,7.989999999999995,0.0,Deep
42,8000000,94.778,86.604,5.221999999999994,8.174000000000007,0.0,Deep
42,9000000,94.852,86.515,5.147999999999996,8.337000000000003,0.0,Deep
42,9990000,94.972,86.439,5.028000000000006,8.533000000000001,0.0,Deep
123,1000000,92.467,87.117,7.533000000000001,5.349999999999994,0.0,Deep
123,2000000,93.281,86.871,6.718999999999994,6.410000000000011,0.0,Deep
123,3000000,93.675,86.896,6.325000000000003,6.778999999999996,0.0,Deep
123,4000000,93.907,86.642,6.0930000000000035,7.265000000000001,0.0,Deep
123,5000000,94.193,86.595,5.807000000000002,7.597999999999999,0.0,Deep
123,6000000,94.383,86.638,5.617000000000004,7.74499999999999,0.0,Deep
123,7000000,94.538,86.53,5.462000000000003,8.007999999999996,0.0,Deep
123,8000000,94.634,86.597,5.366,8.037000000000006,0.0,Deep
123,9000000,94.75,86.463,5.25,8.287000000000006,0.0,Deep
123,9990000,94.891,86.399,5.108999999999995,8.492000000000004,0.0,Deep
7777,1000000,92.418,87.178,7.581999999999994,5.240000000000009,0.0,Deep
7777,2000000,93.258,86.884,6.742000000000004,6.373999999999995,0.0,Deep
7777,3000000,93.554,86.887,6.445999999999998,6.667000000000002,0.0,Deep
7777,4000000,93.875,86.737,6.125,7.138000000000005,0.0,Deep
7777,5000000,94.072,86.615,5.927999999999997,7.457000000000008,0.0,Deep
7777,6000000,94.269,86.44,5.7309999999999945,7.829000000000008,0.0,Deep
7777,7000000,94.436,86.498,5.563999999999993,7.938000000000002,0.0,Deep
7777,8000000,94.537,86.473,5.462999999999994,8.064000000000007,0.0,Deep
7777,9000000,94.629,86.488,5.370999999999995,8.141000000000005,0.0,Deep
7777,9990000,94.675,86.274,5.325000000000003,8.400999999999996,0.0,Deep
42,1000000,86.325,81.425,13.674999999999997,4.900000000000006,0.0,T2I
42,2000000,87.089,81.35,12.911000000000001,5.739000000000004,0.0,T2I
42,3000000,87.499,81.232,12.501000000000005,6.266999999999996,0.0,T2I
42,4000000,87.887,81.149,12.113,6.7379999999999995,0.0,T2I
42,5000000,87.986,81.034,12.013999999999996,6.951999999999998,0.0,T2I
42,6000000,88.132,80.815,11.867999999999995,7.317000000000007,0.0,T2I
